model,source,on_ecohash,params_b,wer_pct,rtfx,price,note
qwen3-asr-1-7b,EcoHash,yes,1.7,3.28,360,input $0.05/1M tok,"end-to-end via API (RTX PRO 6000); lowest WER of our three; peak aggregate throughput"
whisper-large-v3,EcoHash,yes,2,3.64,45,$0.006/min,"end-to-end via API (RTX PRO 6000); LibriSpeech-clean WER"
whisper-large-v3-turbo,EcoHash,yes,0.8,4.37,59,$0.006/min,"end-to-end via API (RTX PRO 6000); ~0.5s for 10s of audio; fastest single-request"
fun-asr-nano,EcoHash,yes,0.8,3.83,21,input $0.05/1M tok,"end-to-end via API; multilingual; not on the leaderboard"
CohereLabs/cohere-transcribe-03-2026,Open ASR Leaderboard (A100),no,2,5.42,524.88,,"most accurate open model"
ibm-granite/granite-4.0-1b-speech,Open ASR Leaderboard (A100),no,2,5.52,280.02,,"IBM; high accuracy"
nvidia/canary-qwen-2.5b,Open ASR Leaderboard (A100),no,2.5,5.63,418.28,$0.00074/min (Replicate),"English only"
ibm-granite/granite-speech-3.3-8b,Open ASR Leaderboard (A100),no,9,5.74,145.42,,"IBM large"
Qwen/Qwen3-ASR-1.7B,Open ASR Leaderboard (A100),yes,1.7,5.76,147.93,,"multilingual; served on EcoHash"
ibm-granite/granite-speech-3.3-2b,Open ASR Leaderboard (A100),no,3,6.00,270.57,,"IBM"
microsoft/Phi-4-multimodal-instruct,Open ASR Leaderboard (A100),no,6,6.02,151.10,,"multimodal with ASR"
nvidia/parakeet-tdt-0.6b-v2,Open ASR Leaderboard (A100),no,0.6,6.05,3386.02,,"English only; very high throughput"
nvidia/parakeet-tdt-0.6b-v3,Open ASR Leaderboard (A100),no,0.6,6.32,3332.74,$0.0015/min (Together),"+25 EU languages; streaming"
nvidia/canary-1b-flash,Open ASR Leaderboard (A100),no,1,6.35,1045.75,,"4 languages; speech translation"
kyutai/stt-2.6b-en,Open ASR Leaderboard (A100),no,2.6,6.40,88.37,,"streaming architecture"
Qwen/Qwen3-ASR-0.6B,Open ASR Leaderboard (A100),no,0.6,6.42,166.23,,"smaller Qwen3-ASR"
mistralai/Voxtral-Small-24B-2507,Open ASR Leaderboard (A100),no,24,6.62,54.09,$0.004/min (Mistral),"LLM-capable; slower"
nvidia/parakeet-tdt-1.1b,Open ASR Leaderboard (A100),no,1.1,7.02,2390.61,,"high throughput"
mistralai/Voxtral-Mini-3B-2507,Open ASR Leaderboard (A100),no,5,7.05,109.86,$0.001/min (DeepInfra),"Mistral small"
nvidia/parakeet-ctc-1.1b,Open ASR Leaderboard (A100),no,1.1,7.40,2728.52,,"pure CTC; simplest/fastest decode"
openai/whisper-large-v3,Open ASR Leaderboard (A100),yes,2,7.44,145.51,from $0.00045/min (3rd-party),"99 languages; most adopted; served on EcoHash"
nvidia/parakeet-tdt_ctc-110m,Open ASR Leaderboard (A100),no,0.11,7.49,5345.14,,"highest throughput on the board"
distil-whisper/distil-large-v3,Open ASR Leaderboard (A100),no,0.8,7.52,214.42,,"distilled Whisper; English only"
openai/whisper-large-v3-turbo,Open ASR Leaderboard (A100),yes,0.8,7.83,200.19,$0.003/min (OpenAI 4o-mini),"Whisper turbo; #1 HF downloads; served on EcoHash"
usefulsensors/moonshine-streaming-small,Open ASR Leaderboard (A100),no,0.12,7.84,566.33,,"on-device; low-latency streaming"
usefulsensors/moonshine-base,Open ASR Leaderboard (A100),no,0.06,9.99,565.97,,"tiny; on-device"
